StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,timing_intro_First Click,timing_intro_Last Click,timing_intro_Page Submit,timing_intro_Click Count,browser_data_Browser,browser_data_Version,browser_data_Operating System,browser_data_Resolution,Q542,Q598,Q726,timing_agree_First Click,timing_agree_Last Click,timing_agree_Page Submit,timing_agree_Click Count,Q830,Q751,Q516_1,Q516_2,Q516_3,Q516_4,Q516_5,Q770,Q770_156_TEXT,Q831,Q831_156_TEXT,timing_ontrack_First Click,timing_ontrack_Last Click,timing_ontrack_Page Submit,timing_ontrack_Click Count,Q831.1,Q832,Q838,Q839,Q843_1,Q843_2,Q843_3,Q851_1,Q851_2,Q851_3,Q851_4,Q851_5,Q851_6,Q851_7,Q851_8,Q851_9,Q851_10,Q851_11,Q849,Q850,Q845,Q847,Q848,Q844,Q832.1,timing_end_First Click,timing_end_Last Click,timing_end_Page Submit,timing_end_Click Count,hashed_id
2022-03-19 14:02,2022-03-19 14:07,IP Address,100,283,True,2022-03-19 14:07,R_2dopgvUlsHZCVkT,,,,,anonymous,EN,12.132,36.723,47.314,5,Chrome,99.0.4844.74,Windows NT 10.0,1920x1080,Somewhat disagree,Somewhat agree,Strongly agree,7.556,19.94,21.376,4,Yes,Strongly agree,5,2,0,0,5,"Study tips,FAQs about assignments / homework,More practice content",,I would have liked to receive weekly reminder emails.,,4.764,57.581,60.949,12,Disagree,Disagree,Disagree,Somewhat disagree,5.0,5.0,-5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Watch the video associated with it and think about the meaning of each topic before writing my reflection. ,20 minutes,No,,,No,"Yes, I am willing to be contacted",15.516,15.516,18.547,1,a41164165fc4a741fe9bcb564d29a4e91e1fa8edfcd30eaf1283c6732a6a3360
2022-03-19 12:46,2022-03-19 14:13,IP Address,100,5184,True,2022-03-19 14:13,R_3nq371rGlYNNDWu,,,,,anonymous,EN,4025.979,4075.463,4097.631,7,Chrome,99.0.4844.74,Windows NT 10.0,1536x864,Disagree,Disagree,Disagree,14.815,24.77,26.035,3,Yes,Neither agree nor disagree,-2,1,-2,-2,4,FAQs about assignments / homework,,I would have liked to receive weekly reminder emails.,,7.745,710.166,713.239,19,Agree,Somewhat disagree,Disagree,Somewhat disagree,2.1,3.4,-3.1,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,did a bit search,30min,No,,,"Write the reflections seriously is to heavy for a preparation, but if we copy and paste, the reflection become useless ","No, I am not willing to be contacted",66.875,66.875,91.171,1,80fd813af948d701201f48e07bfd36a3bd8c3853c3ed4133b83ee0709bb8889d
2022-03-19 14:58,2022-03-19 15:04,IP Address,100,396,True,2022-03-19 15:04,R_2cBCil3VQwQXwoV,,,,,anonymous,EN,1.68,11.092,15.209,3,Chrome,99.0.4844.51,Macintosh,1440x900,Somewhat agree,Somewhat agree,Agree,10.442,20.468,21.239,4,Yes,Strongly agree,4,4,3,-2,4,"Study tips,FAQs about assignments / homework",,I would have liked to receive weekly reminder emails.,,4.631,51.184,53.283,10,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,5.0,5.0,-4.9,No,No,No,No,No,No,No,No,No,No,No,"I did the text reflections. But I felt that the reflections weren't particularly that helpful, because most of the times I could juts refer to the videos and write what's given in the slides, instead of actually learning anything from it. What helps me better to learn is the videos and the practice questions, which are already there. Personally for me, I felt that the reflections didn't help me learn any better.",20 mins per reflection approx,No,,,Already mentioned in the previous question,"No, I am not willing to be contacted",9.972,9.972,11.252,1,68f5ea08cbe54b141ffa8bb4ad1e4c54fc6882a2b33cf693a32f4cfbd9576496
2022-03-19 15:00,2022-03-19 15:09,IP Address,100,500,True,2022-03-19 15:09,R_1zZkDxWzEC4xB7P,,,,,anonymous,EN,20.374,50.833,88.722,6,Safari,14.1.2,Macintosh,2560x1440,Agree,Neither agree nor disagree,Strongly agree,7.981,24.07,35.489,4,Yes,Neither agree nor disagree,5,5,0,-5,5,"Study tips,FAQs about assignments / homework,More practice content",,I would have liked to receive weekly reminder emails.,,4.496,79.127,85.762,11,Agree,Agree,Agree,Agree,-4.1,5.0,1.4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unsure,Unsure,No,I am completing reflections via Voice only,about 5 minutes,No,,,"I didn't find them too helpful as I already took notes throughout the videos, but I find if I didn't they would have encouraged me to do so. Also it be nice if an additional site wasn't needed for submission.","Yes, I am willing to be contacted",17.844,17.844,23.839,1,1ff4d2f6bf17778ca467cca591117261f3a7f0cb38b12d5dcd3b5ff1f808efc5
2022-03-19 16:10,2022-03-19 16:15,IP Address,100,303,True,2022-03-19 16:15,R_3IYKK6d2USLM9uv,,,,,anonymous,EN,4.002,27.73,29.672,3,Firefox,98,Windows NT 10.0,1920x1080,Strongly agree,Agree,Agree,8.095,19.664,20.616,3,Yes,Agree,5,5,5,5,5,"University resources,Study tips,Information about CS related clubs,FAQs about assignments / homework,More practice content",,"I would have liked to receive daily reminder emails.,I would have liked to receive weekly reminder emails.",,5.946,88.305,91.284,15,Strongly agree,Somewhat disagree,Disagree,Agree,5.0,5.0,-5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I write my reflections on word and then post it on the reflection website,Sometimes not too long if I understood from the beginning. Sometimes more if I understood less. Always less than 30 minutes for all cases,No,,,"No, i think this is pretty good","Yes, I am willing to be contacted",5.081,5.081,17.854,1,cd870d7539daaddbb4c89effc3fb72ca60a58fc653a23bf4d7fbcb5dadb9b9d5
2022-03-19 16:36,2022-03-19 16:40,IP Address,100,272,True,2022-03-19 16:40,R_VUtizp9nCZQWYUx,,,,,anonymous,EN,1.848,22.486,23.888,6,Chrome,99.0.4844.74,Windows NT 10.0,1920x1080,Strongly agree,Disagree,Neither agree nor disagree,5.048,12.526,13.5,4,I only remember receiving a few,Neither agree nor disagree,3,3,5,-3,0,"Information about CS related clubs,FAQs about assignments / homework,More practice content",,I would have liked to receive weekly reminder emails.,,3.111,52.398,54.116,13,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,5.0,5.0,-5.0,No,No,Yes,Yes,Yes,Unsure,Yes,Yes,Unsure,Unsure,Unsure,Text,as little time as possible so that I get the mark,Yes,"Accidently hit submit when I clearly did not hit word limit, it gave the mark anyways, and had no option to resubmit.",Does not apply to me,no,"No, I am not willing to be contacted",22.951,24.316,24.707,2,eb39f865d2d93792deae5ab709c91fe4746307479fd281efda6b773a298c0368
2022-03-19 16:40,2022-03-19 16:53,IP Address,100,770,True,2022-03-19 16:53,R_b9mm6SLVSOJj35T,,,,,anonymous,EN,2.258,17.065,22.879,3,Chrome,99.0.4844.74,Windows NT 10.0,1536x864,Disagree,Somewhat disagree,Somewhat agree,5.332,13.564,14.397,4,I only remember receiving a few,Somewhat agree,0,0,-5,0,0,University resources,,I would have liked to receive biweekly reminder emails.,,5.414,109.231,112.119,12,Neither agree nor disagree,Neither agree nor disagree,I did not get to provide voice reflections,Neither agree nor disagree,3.0,2.0,-5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Usually by going over my current knowledge of the topic and summarizing my understanding instead of actually reflecting on the video. Summarizing short videos was somewhat difficult and felt more like reciting the content than actually thinking and organizing my thoughts.,5-10 minutes,No,,,While I didn't necessarily hate the idea of having voice reflections I'm also pretty happy that I didn't have to do any,"Yes, I am willing to be contacted",2.737,39.373,40.851,2,1518f00b7ba88b494dbdb4d077d58149e7e48ebac02e97e0c94711cce4de734a
2022-03-19 17:35,2022-03-19 17:42,IP Address,100,404,True,2022-03-19 17:42,R_O6zO2ghPuw2Dp4J,,,,,anonymous,EN,4.262,22.038,24.245,5,Edge,99.0.1150.39,Windows NT 10.0,1920x1080,Agree,Somewhat agree,Strongly agree,10.411,18.173,18.938,5,Yes,Strongly agree,5,3,5,-5,5,"University resources,Study tips,Information about CS related clubs,FAQs about assignments / homework,More practice content",,I would have liked to receive weekly reminder emails.,,4.898,85.798,93.331,18,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,5.0,5.0,-5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I often take notes while watching the video and complete the reflections based on my notes.,30 minutes - 1 hour,No,,,"Great course and contents, however I wish that PCRS videos can be a little bit better on some topics (like normal forms) in terms of clarity. ","No, I am not willing to be contacted",5.249,20.588,28.977,9,c11d25f8145562a90fe56cb6798d6902bf4078339a2c375de4f98a7f6465f2ba
2022-03-19 18:52,2022-03-19 18:57,IP Address,100,324,True,2022-03-19 18:57,R_XYX0C2QhEs9Q0qR,,,,,anonymous,EN,3.335,3.335,16.685,1,Chrome,99.0.4844.74,Macintosh,1920x1080,Disagree,Disagree,Disagree,9.31,34.589,35.832,7,No,Strongly disagree,3,3,-5,-5,3,"University resources,Study tips,Information about CS related clubs,FAQs about assignments / homework",,Other,I don't really care if I'm being honest,2.58,43.457,51.37,13,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,-5.0,5.0,-5.0,No,No,No,No,No,No,No,No,No,No,No,:),max 3 mins,Yes,"Sometimes the program would just refuse to accept my voice recordings even though I believed that my environment was suitable for a good voice recording. Sometimes, it literally just never finished processing my voice recording so I had to retry at a later time. ",Does not apply to me,they're neat ig,"No, I am not willing to be contacted",10.977,10.977,28.254,1,957d9fe73fd239fec5f99f99d51d2f9a7fbe76e7c09f30f52f730ea8198f7e1d
2022-03-19 19:01,2022-03-19 19:02,IP Address,100,88,True,2022-03-19 19:02,R_cZ36VgDxpQWlznr,,,,,anonymous,EN,1.059,20.242,20.621,6,Chrome,99.0.4844.74,Windows NT 10.0,1920x1080,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1.388,3.844,4.117,5,I only remember receiving a few,Neither agree nor disagree,3,3,3,2,3,"University resources,Study tips,Information about CS related clubs",,"I would have liked to receive daily reminder emails.,Other",,1.111,8.316,10.071,12,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,5.0,5.0,-5.0,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,by text,10 minutes,No,,,,"No, I am not willing to be contacted",2.154,6.501,6.775,4,1adc4fe1fe982085a2eb0a9eb4e49e82abbbd6a0fced3dcba0c9468a9e47880c
2022-03-19 19:13,2022-03-19 19:17,IP Address,100,235,True,2022-03-19 19:17,R_1dLTKr0plRXSEbf,,,,,anonymous,EN,15.389,32.944,65.655,3,Chrome,99.0.4844.74,Windows NT 10.0,1920x1080,Agree,Somewhat agree,Somewhat agree,6.559,12.698,13.494,3,Yes,Somewhat agree,0,5,-5,-5,5,"FAQs about assignments / homework,More practice content",,I would have liked to receive weekly reminder emails.,,2.913,39.876,44.4,10,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,0.1,5.0,0.0,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,I am completing them using voice,around 20 minutes,No,,,NO,"No, I am not willing to be contacted",5.724,8.682,9.057,2,c0a3ff25149732eeabfa193373ebbf50706ad28f745774cee544c8e758ee28dd
2022-03-19 19:17,2022-03-19 19:22,IP Address,100,296,True,2022-03-19 19:22,R_3fUXipMGz1YQD3p,,,,,anonymous,EN,1.844,13.947,25.631,3,Chrome,99.0.4844.74,Windows NT 10.0,1920x1080,Neither agree nor disagree,Disagree,Disagree,10.524,19.756,20.385,3,Yes,Neither agree nor disagree,3,3,-5,2,5,FAQs about assignments / homework,,I would have liked to receive weekly reminder emails.,,7.435,96.285,99.441,10,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,0.0,5.0,0.0,No,No,No,No,No,No,No,No,No,No,No,Did a mix of both written and verbal reflections,about 3-5 minutes per reflection,Yes,"I would attempt to record my reflection, and then it would not let me save the recording and instead would simply prompt me to rerecord everytime",Yes,No,"No, I am not willing to be contacted",11.292,11.963,13.232,2,adc9b44259f50e8de8f11b5e3f3adeac6334592b86f168d8264e96819a72a2c2
2022-03-19 21:28,2022-03-19 21:36,IP Address,100,521,True,2022-03-19 21:36,R_2Ph6zQ6C4NPqxaf,,,,,anonymous,EN,2.587,23.685,27.863,3,Chrome,99.0.4844.74,Linux x86_64,1920x1200,Strongly agree,Neither agree nor disagree,Agree,2.024,21.818,23.268,12,Yes,Somewhat agree,5,5,-2,5,5,FAQs about assignments / homework,,I would have liked to receive weekly reminder emails.,,3.201,84.253,89.538,45,Neither agree nor disagree,Neither agree nor disagree,I did not get to provide voice reflections,Neither agree nor disagree,4.0,4.0,-5.0,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,"When I see a reflection I put the video on one screen and the prompt on another screen. Then as I watch the video I fill in some sentences, as quickly as I can. I sometimes try to write to write meaningful things too, but not often. I also sometimes copy paste the sentence over to save typing too much.  ",I've finished all reflections in around less time then the duration of the corresponding video (while the video was also playing) ,No,,,I think some videos were way too short to give a reflection. In my opinion for reflections to be meaningful they have to be handmarked. I think reflections on a topic after each week which are marked for completion only would work so much better.  ,"Yes, I am willing to be contacted",2.282,19.336,25.547,23,299d5f8ff94a4775017c95b2769a8f5e3b0d83e8b07285a01cc32b25243fa95e
2022-03-19 22:01,2022-03-19 22:07,IP Address,100,383,True,2022-03-19 22:07,R_3FRH4zmFqkJ2fVL,,,,,anonymous,EN,4.551,14.656,19.019,3,Chrome,99.0.4844.74,Windows NT 10.0,1536x864,Somewhat agree,Neither agree nor disagree,Strongly agree,4.319,24.345,26.795,6,Yes,Strongly agree,0,2,5,-5,4,"Study tips,FAQs about assignments / homework,More practice content",,I would have liked to receive weekly reminder emails.,,2.942,136.523,139.924,40,Agree,Agree,Somewhat disagree,Somewhat disagree,2.5,5.0,-5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Goin through video and simultaneously making notes which can also be submitted for the reflection.,25 minutes,No,,,,"No, I am not willing to be contacted",8.222,8.222,13.109,1,f4365a1fbf619a69bda806c1ae08d9ba6c095682abf39d31ad6eedd7951bf7d5
2022-03-20 8:10,2022-03-20 8:14,IP Address,100,202,True,2022-03-20 8:14,R_3sgkgecVflEJdOT,,,,,anonymous,EN,1.356,17.175,17.461,3,Chrome,99.0.4844.74,Windows NT 10.0,1920x1080,Agree,Disagree,Somewhat agree,5.663,14.359,15.173,6,Yes,Agree,0,-4,1,-5,5,"Information about CS related clubs,FAQs about assignments / homework",,I would have liked to receive weekly reminder emails.,,2.198,45.137,49.578,15,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,1.2,4.4,-4.6,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,I complete them by taking notes as I view the PCRS videos and organize them afterwards before submission.,5-15 minutes,No,,,,"No, I am not willing to be contacted",15.688,15.688,19.192,1,4bab1dc32bc8c88d7fb210dfd509cba51c94fd9cfd5f99d347d0267de1dbeb0f
2022-03-20 8:51,2022-03-20 8:57,IP Address,100,345,True,2022-03-20 8:57,R_2OV0rGTgEZBmxvV,,,,,anonymous,EN,7.888,38.958,56.579,2,Chrome,99.0.4844.74,Windows NT 10.0,1366x768,Disagree,Strongly disagree,Strongly agree,16.702,38.687,41.181,3,Yes,Strongly disagree,5,5,-5,-5,5,"University resources,FAQs about assignments / homework",,I would have liked to receive weekly reminder emails.,,8.184,82.999,86.501,10,Strongly disagree,Strongly disagree,Disagree,Disagree,-5.0,5.0,-5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I watch the video and write the reflections at the same time.,2-3 minutes,No,,,No,"No, I am not willing to be contacted",11.917,11.917,16.334,1,d97035a7d61053a45213955b1c7d4ba428c1497dde6da5a7ab6a5a4481e34523
2022-03-20 9:39,2022-03-20 9:44,IP Address,100,316,True,2022-03-20 9:44,R_2AEUBjO6xFrpgBa,,,,,anonymous,EN,1.897,21.394,30.951,4,Chrome,99.0.4844.74,Macintosh,1440x900,Strongly disagree,Somewhat agree,Strongly agree,6.206,19.57,20.472,4,No,Strongly agree,-5,4,-5,-5,5,"University resources,Study tips,Information about CS related clubs,FAQs about assignments / homework,More practice content",,"I would have liked to receive weekly reminder emails.,I would have liked to receive biweekly reminder emails.",,5.49,88.304,88.612,18,Agree,Agree,Strongly agree,Strongly agree,0.0,5.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"mostly by using Mac's own dictation software to talk about the sentences, and edit some typos from the system, and add additional points (because I was assigned to written response)",around 5 mins each,No,,,Go OnTrack :),"Yes, I am willing to be contacted",1.685,9.214,9.655,2,e7fdbb781687d39c698289fedca23d2f743e9f7a49c9eb5398f27428c76d1a2f
2022-03-20 10:30,2022-03-20 10:34,IP Address,100,231,True,2022-03-20 10:34,R_1QbI3wQFzxvGvtm,,,,,anonymous,EN,3.812,28.822,35.538,6,Safari,15.1,Macintosh,1920x1080,Somewhat disagree,Disagree,Somewhat agree,6.69,20.308,20.91,4,Yes,Disagree,5,1,-5,-5,-4,FAQs about assignments / homework,,I would not have liked to receive any emails.,,5.356,57.884,59.592,16,Agree,Disagree,I did not get to provide voice reflections,Strongly disagree,5.0,5.0,-5.0,No,No,No,No,No,No,No,No,No,No,No,just rewriting the notes ive already written down,a minute,No,,,,"No, I am not willing to be contacted",5.849,7.624,15.365,2,957bace8310513eaf3df8c299c34c0617661807ddddce36b36e6d3136ce579ed
